iter	Passed	Remaining
406	5327	7761
407	5338	7746
408	5351	7732
409	5363	7718
410	5376	7705
411	5389	7691
412	5403	7679
413	5414	7664
414	5427	7650
415	5439	7636
416	5451	7622
417	5463	7607
418	5476	7594
419	5489	7580
420	5501	7566
421	5513	7552
422	5525	7537
423	5539	7525
424	5551	7510
425	5562	7494
426	5575	7482
427	5589	7469
428	5600	7454
429	5612	7439
430	5624	7425
431	5637	7412
432	5650	7398
433	5662	7384
434	5674	7369
435	5687	7356
436	5698	7340
437	5709	7325
438	5722	7312
439	5734	7298
440	5746	7284
441	5759	7271
442	5771	7256
443	5783	7242
444	5795	7227
445	5809	7216
446	5821	7202
447	5834	7188
448	5845	7173
449	5858	7159
450	5869	7144
451	5883	7133
452	5896	7120
453	5909	7107
454	5921	7093
455	5933	7078
456	5946	7065
457	5959	7052
458	5971	7038
459	5984	7025
460	5996	7011
461	6007	6995
462	6019	6981
463	6031	6967
464	6044	6954
465	6055	6939
466	6069	6926
467	6083	6914
468	6095	6901
469	6106	6886
470	6118	6871
471	6130	6858
472	6144	6845
473	6154	6829
474	6166	6815
475	6179	6802
476	6189	6786
477	6202	6773
478	6214	6759
479	6227	6746
480	6238	6731
481	6251	6718
482	6263	6704
483	6277	6692
484	6291	6680
485	6303	6666
486	6315	6652
487	6327	6638
488	6339	6624
489	6351	6610
490	6364	6598
491	6377	6584
492	6388	6569
493	6399	6554
494	6411	6541
495	6423	6527
496	6435	6513
497	6447	6499
498	6460	6485
499	6472	6472
500	6484	6458
501	6496	6445
502	6508	6431
503	6520	6416
504	6533	6404
505	6546	6390
506	6560	6378
507	6572	6365
508	6584	6351
509	6596	6337
510	6608	6324
511	6621	6311
512	6632	6296
513	6644	6282
514	6656	6268
515	6669	6255
516	6681	6241
517	6694	6228
518	6706	6215
519	6718	6201
520	6730	6187
521	6743	6174
522	6754	6160
523	6766	6146
524	6778	6133
525	6791	6120
526	6804	6107
527	6818	6095
528	6829	6080
529	6841	6067
530	6853	6053
531	6867	6041
532	6878	6026
533	6891	6013
534	6903	6000
535	6915	5986
536	6929	5974
537	6942	5961
538	6954	5948
539	6968	5935
540	6978	5920
541	6991	5907
542	7004	5895
543	7016	5881
544	7027	5867
545	7040	5854
546	7053	5841
547	7066	5828
548	7077	5813
549	7088	5799
550	7102	5787
551	7115	5774
552	7128	5762
553	7140	5748
554	7154	5736
555	7166	5722
556	7176	5708
557	7190	5695
558	7203	5682
559	7215	5669
560	7229	5657
561	7240	5643
562	7253	5630
563	7266	5617
564	7278	5603
565	7292	5591
566	7306	5579
567	7318	5565
568	7331	5553
569	7344	5540
570	7356	5526
571	7369	5514
572	7381	5500
573	7394	5487
574	7406	5474
575	7419	5461
576	7433	5449
577	7446	5436
578	7457	5422
579	7470	5409
580	7483	5396
581	7496	5383
582	7508	5370
583	7520	5356
584	7533	5344
585	7546	5331
586	7559	5318
587	7571	5304
588	7583	5291
589	7595	5278
590	7608	5265
591	7620	5251
592	7631	5237
593	7643	5224
594	7656	5211
595	7667	5197
596	7681	5185
597	7695	5173
598	7707	5159
599	7718	5145
600	7730	5132
601	7743	5119
602	7755	5106
603	7768	5093
604	7781	5080
605	7794	5067
606	7808	5055
607	7822	5043
608	7834	5029
609	7847	5017
610	7861	5005
611	7874	4992
612	7885	4978
613	7897	4965
614	7910	4952
615	7922	4938
616	7935	4925
617	7947	4912
618	7958	4898
619	7970	4885
620	7982	4871
621	7995	4858
622	8007	4845
623	8021	4833
624	8034	4820
625	8045	4806
626	8056	4793
627	8069	4779
628	8080	4765
629	8093	4753
630	8106	4740
631	8119	4727
632	8131	4714
633	8143	4701
634	8156	4688
635	8170	4676
636	8183	4663
637	8194	4649
638	8209	4638
639	8221	4624
640	8234	4611
641	8245	4598
642	8259	4585
643	8272	4572
644	8285	4560
645	8298	4547
646	8310	4533
647	8322	4520
648	8335	4508
649	8350	4496
650	8361	4482
651	8373	4469
652	8386	4456
653	8399	4443
654	8411	4430
655	8425	4418
656	8438	4405
657	8450	4392
658	8462	4378
659	8474	4365
660	8487	4352
661	8500	4339
662	8513	4327
663	8525	4313
664	8539	4302
665	8552	4289
666	8564	4276
667	8575	4262
668	8588	4249
669	8600	4236
670	8612	4222
671	8626	4210
672	8639	4197
673	8652	4184
674	8672	4175
675	8684	4162
676	8696	4149
677	8707	4135
678	8720	4122
679	8732	4109
680	8745	4096
681	8759	4084
682	8771	4071
683	8785	4058
684	8798	4046
685	8811	4033
686	8823	4020
687	8836	4007
688	8847	3993
689	8862	3981
690	8874	3968
691	8888	3956
692	8900	3943
693	8914	3930
694	8926	3917
695	8939	3904
696	8952	3892
697	8965	3879
698	8977	3866
699	8990	3853
700	9003	3840
701	9018	3828
702	9033	3816
703	9047	3804
704	9070	3795
705	9084	3782
706	9097	3770
707	9110	3757
708	9123	3744
709	9135	3731
710	9148	3718
711	9162	3706
712	9176	3693
713	9190	3681
714	9204	3668
715	9216	3655
716	9230	3643
717	9244	3630
718	9258	3618
719	9272	3605
720	9284	3592
721	9312	3585
722	9332	3575
723	9348	3563
724	9363	3551
725	9376	3538
726	9389	3525
727	9402	3513
728	9415	3500
729	9429	3487
730	9441	3474
731	9455	3461
732	9470	3449
733	9483	3436
734	9496	3423
735	9509	3411
736	9523	3398
737	9535	3385
738	9547	3372
739	9560	3359
740	9573	3346
741	9586	3333
742	9597	3319
743	9609	3306
744	9623	3293
745	9636	3281
746	9647	3267
747	9661	3255
748	9674	3241
749	9686	3228
750	9699	3215
751	9712	3203
752	9725	3190
753	9737	3176
754	9750	3164
755	9761	3150
756	9773	3137
757	9785	3124
758	9798	3111
759	9810	3097
760	9822	3084
761	9835	3071
762	9847	3058
763	9858	3045
764	9871	3032
765	9886	3020
766	9900	3007
767	9915	2995
768	9929	2982
769	9941	2969
770	9953	2956
771	9965	2943
772	9979	2930
773	9991	2917
774	10006	2904
775	10019	2892
776	10031	2879
777	10044	2866
778	10056	2853
779	10072	2840
780	10086	2828
781	10098	2815
782	10109	2801
783	10122	2788
784	10135	2775
785	10147	2762
786	10160	2749
787	10171	2736
788	10184	2723
789	10197	2710
790	10209	2697
791	10222	2684
792	10237	2672
793	10248	2659
794	10262	2646
795	10274	2633
796	10285	2619
797	10298	2606
798	10310	2593
799	10321	2580
800	10333	2567
801	10347	2554
802	10360	2541
803	10372	2528
804	10384	2515
805	10396	2502
806	10410	2489
807	10423	2476
808	10436	2464
809	10450	2451
810	10463	2438
811	10475	2425
812	10488	2412
813	10500	2399
814	10513	2386
815	10525	2373
816	10537	2360
817	10549	2347
818	10562	2334
819	10575	2321
820	10588	2308
821	10600	2295
822	10612	2282
823	10625	2269
824	10638	2256
825	10649	2243
826	10661	2230
827	10674	2217
828	10687	2204
829	10699	2191
830	10712	2178
831	10726	2165
832	10738	2152
833	10750	2139
834	10763	2126
835	10775	2113
836	10788	2100
837	10802	2088
838	10812	2074
839	10827	2062
840	10842	2049
841	10855	2036
842	10868	2024
843	10878	2010
844	10891	1997
845	10902	1984
846	10914	1971
847	10927	1958
848	10940	1945
849	10952	1932
850	10964	1919
851	10977	1906
852	10989	1893
853	11001	1880
854	11014	1867
855	11026	1854
856	11039	1842
857	11050	1828
858	11062	1815
859	11075	1802
860	11088	1790
861	11100	1777
862	11113	1764
863	11126	1751
864	11139	1738
865	11152	1725
866	11164	1712
867	11178	1699
868	11190	1686
869	11202	1673
870	11213	1660
871	11226	1647
872	11239	1635
873	11252	1622
874	11266	1609
875	11278	1596
876	11291	1583
877	11304	1570
878	11317	1557
879	11329	1544
880	11342	1532
881	11354	1519
882	11368	1506
883	11380	1493
884	11394	1480
885	11407	1467
886	11420	1454
887	11433	1442
888	11445	1429
889	11459	1416
890	11472	1403
891	11486	1390
892	11500	1377
893	11513	1365
894	11527	1352
895	11540	1339
896	11552	1326
897	11566	1313
898	11578	1300
899	11589	1287
900	11603	1274
901	11617	1262
902	11630	1249
903	11643	1236
904	11655	1223
905	11667	1210
906	11680	1197
907	11694	1184
908	11706	1171
909	11719	1159
910	11732	1146
911	11744	1133
912	11756	1120
913	11771	1107
914	11784	1094
915	11798	1081
916	11811	1069
917	11823	1056
918	11836	1043
919	11849	1030
920	11863	1017
921	11875	1004
922	11887	991
923	11898	978
924	11913	965
925	11926	953
926	11937	940
927	11951	927
928	11963	914
929	11976	901
930	11989	888
931	12000	875
932	12013	862
933	12025	849
934	12038	836
935	12050	823
936	12062	811
937	12077	798
938	12089	785
939	12101	772
940	12114	759
941	12127	746
942	12139	733
943	12150	720
944	12163	707
945	12175	695
946	12188	682
947	12200	669
948	12214	656
949	12226	643
950	12241	630
951	12255	617
952	12268	605
953	12282	592
954	12293	579
955	12305	566
956	12317	553
957	12331	540
958	12342	527
959	12354	514
960	12367	501
961	12379	488
962	12390	476
963	12402	463
964	12416	450
965	12428	437
966	12440	424
967	12453	411
968	12465	398
969	12478	385
970	12489	373
971	12501	360
972	12513	347
973	12526	334
974	12538	321
975	12551	308
976	12563	295
977	12576	282
978	12587	270
979	12598	257
980	12610	244
981	12622	231
982	12635	218
983	12648	205
984	12668	192
985	12681	180
986	12694	167
987	12706	154
988	12718	141
989	12730	128
990	12742	115
991	12754	102
992	12766	89
993	12778	77
994	12789	64
995	12802	51
996	12813	38
997	12825	25
998	12836	12
999	12847	0
